GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
paymybuddy,com.paymybuddy.paymybuddy.controllers,TransactionController,0,72,0,0,0,19,0,6,0,6
paymybuddy,com.paymybuddy.paymybuddy.controllers,UtilisateurController,0,115,0,2,0,29,0,8,0,7
paymybuddy,com.paymybuddy.paymybuddy.controllers,AuthController,14,61,0,0,4,15,0,4,0,4
paymybuddy,com.paymybuddy.paymybuddy.controllers,ConnexionController,0,40,0,0,0,9,0,4,0,4
paymybuddy,com.paymybuddy.paymybuddy,PaymybuddyApplication,5,3,0,0,2,1,1,1,1,1
paymybuddy,com.paymybuddy.paymybuddy.models,Commissions_pmb,0,17,0,0,0,4,0,5,0,5
paymybuddy,com.paymybuddy.paymybuddy.models.dto,TransactionDTO,18,70,0,0,1,14,1,12,1,12
paymybuddy,com.paymybuddy.paymybuddy.models.dto,IdentificationDTO,0,23,0,0,0,7,0,5,0,5
paymybuddy,com.paymybuddy.paymybuddy.models.dto,UtilisateurDTO,21,80,0,0,1,17,1,14,1,14
paymybuddy,com.paymybuddy.paymybuddy.models.dto,ConnexionDTO,9,36,0,0,1,8,1,6,1,6
paymybuddy,com.paymybuddy.paymybuddy.models.dao,TransactionDAO,0,42,0,0,0,10,0,8,0,8
paymybuddy,com.paymybuddy.paymybuddy.models.dao,EmbeddedConnexion,0,26,0,0,0,8,0,6,0,6
paymybuddy,com.paymybuddy.paymybuddy.models.dao,ConnexionDAO,0,20,0,0,0,6,0,4,0,4
paymybuddy,com.paymybuddy.paymybuddy.models.dao,UtilisateurDAO,38,71,1,1,10,11,3,18,2,18
paymybuddy,com.paymybuddy.paymybuddy.models.dao,EmbeddedTransaction,0,36,0,0,0,11,0,8,0,8
paymybuddy,com.paymybuddy.paymybuddy.services,TransactionService,24,129,0,4,4,22,2,6,2,4
paymybuddy,com.paymybuddy.paymybuddy.services,ConnexionService,0,81,0,2,0,18,0,5,0,4
paymybuddy,com.paymybuddy.paymybuddy.services,UtilisateurService,0,54,0,0,0,13,0,4,0,4
